Curso;Módulo atual;Faltas Consecutivas;Idade;Sexo;Bairro;Cidade;Pend. Acad.;Possui Pendência Financeira;Bolsista;Antecipou Parcela;Situação (código)
Curso Técnico em Administração;0;0;21;0;Lagoa das Flores;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;35;1;Espírito Santo;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;32;1;Campinhos;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;3;12;21;1;Boa Vista;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;21;1;Candeias;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;21;1;Zabelê;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;24;0;Bate Pé;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;3;0;27;1;Campinhos;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;1;0;27;1;Bateias;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;26;1;Jatobá;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;32;1;Primavera;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;19;0;Patagônia;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;3;12;29;0;Candeias;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;1;6;22;1;Boa Vista;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;1;0;20;1;Simão;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;26;0;Senhonrinha Cairo;Vitória da Conquista;0;0;0;0;1
Curso Técnico em Administração;1;0;28;1;Patagônia;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;2;3;20;1;Cruzeiro;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;3;23;26;0;Ibirapuera;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;3;12;20;0;Zabelê;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;1;3;25;0;Centro;Cândido Sales;0;0;0;0;0
Curso Técnico em Administração;0;0;51;1;Centro;Cândido Sales;0;0;0;0;0
Curso Técnico em Administração;1;1;26;1;Patagônia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;22;0;Centro;Planalto;0;0;0;0;0
Curso Técnico em Administração;0;0;20;1;Zabelê;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;0;0;24;1;Espírito Santo;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;1;0;33;1;Felícia;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;3;0;18;0;Espírito Santo;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;3;10;23;1;Primavera;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;26;1;Boa Vista;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;0;7;31;1;Centro;Iguaí;0;0;0;0;0
Curso Técnico em Administração;0;13;23;0;Vila Serrana 2;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;28;1;Patagônia;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;0;0;38;1;Felícia;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;23;1;Espírito Santo;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;34;0;Felícia;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;35;1;Felícia;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;33;1;José Gonçalves;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;26;1;Zabelê;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;32;1;Espírito Santo;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;3;13;29;0;Centro;Anagé;0;1;0;0;8
